inventory_id,city_id,city,item_id,item_name,size,volume,vendor_number,vendor_name
17_1001,17,FURNESS,1001,"Baileys 50mL 4 Pack","50mL 4 Pk",50,3960.00,"DIAGEO NORTH AMERICA INC"
17_10058,17,FURNESS,10058,"F Coppola Dmd Ivry Cab Svgn",750mL,750,2000.00,"SOUTHERN WINE & SPIRITS NE"
17_1023,17,FURNESS,1023,"Hennessy VSOP Cognac + 50mL",750mL,750,8112.00,"MOET HENNESSY USA INC"
17_1024,17,FURNESS,1024,"Hennessey VS +VSOP 50mL",750mL,750,8112.00,"MOET HENNESSY USA INC"
17_10266,17,FURNESS,10266,"Klinker Brick Old Vine Znfdl",750mL,750,9552.00,"M S WALKER INC"
17_10296,17,FURNESS,10296,"Alamos Slcn Malbec Mendoza",750mL,750,3252.00,"E & J GALLO WINERY"
17_10298,17,FURNESS,10298,"Alamos Torrontes",750mL,750,3252.00,"E & J GALLO WINERY"
17_10420,17,FURNESS,10420,"Barefoot Moscato Cal",750mL,750,3252.00,"E & J GALLO WINERY"
17_10421,17,FURNESS,10421,"Barefoot Moscato Cal",1.5L,1500,3252.00,"E & J GALLO WINERY"
17_10472,17,FURNESS,10472,"Clos du Bois Pnt Nr Cal",750mL,750,1392.00,"CONSTELLATION BRANDS INC"
17_1060,17,FURNESS,1060,"Jack Daniels Bruins Glass Pk",Liter,1000,1128.00,"BROWN-FORMAN CORP"
17_1064,17,FURNESS,1064,"Jack Daniels Honey + Glass",750mL,750,1128.00,"BROWN-FORMAN CORP"
17_10723,17,FURNESS,10723,"R M Woodbridge Chard",1.5L,1500,1392.00,"CONSTELLATION BRANDS INC"
17_10727,17,FURNESS,10727,"Starborough Svgn Bl Marlboro",750mL,750,3252.00,"E & J GALLO WINERY"
17_10957,17,FURNESS,10957,"Seaglass Svgn Bl Snt Barbara",750mL,750,8892.00,"TRINCHERO FAMILY ESTATES"
17_11067,17,FURNESS,11067,"Sterling Chard",750mL,750,1590.00,"DIAGEO CHATEAU ESTATE WINES"
17_11141,17,FURNESS,11141,"C K Mondavi Chard",1.5L,1500,2000.00,"SOUTHERN WINE & SPIRITS NE"
17_11213,17,FURNESS,11213,"Meiomi Pnt Nr",750mL,750,1392.00,"CONSTELLATION BRANDS INC"
17_11414,17,FURNESS,11414,"Beringer Classic Moscato",750mL,750,9819.00,"TREASURY WINE ESTATES"
